idx,질문,카테고리
0,당신은 어느 나라에서 왔나요? 한국에 온 이유는 무엇인가요?,본인
1,한국에 온 지 얼마나 되셨나요? 앞으로 얼마나 오래 계실 예정인가요?,본인
2,당신이 가장 좋아하는 음식은 무엇인가요? 좋아하는 이유를 말해 주세요.,음식
3,어떤 취미를 가지고 있나요? 얼마나 자주 그 취미 생활을 하나요?,모의고사
4,그 취미를 가지게 된 이유가 무엇인가요? 왜 그 일을 하는 것이 즐겁나요?,모의고사
5,가장 좋아하는 동물이 무엇인가요? 이유와 함께 말해 보세요.,본인
6,컴퓨터와 휴대폰 중에서 무엇을 더 즐겨 사용하시나요? 무엇을 하나요?,논술
7,운동화와 구두 중 무엇을 더 좋아하나요? 이유를 설명해 주세요.,모의고사
8,드라마와 영화 중 어떤 게 더 좋나요? 이유를 말해 주세요.,모의고사
9,일주일 중 어느 요일을 제일 좋아하시나요? 이유를 말해 주세요.,모의고사
10,당신은 늦게 자고 늦게 일어나는 편입니까? 또는 그 반대입니까? 왜 그렇습니까?,본인
11,비 오는 날을 좋아하시나요? 싫어하시나요? 이유를 말해 주세요.,본인
16,가장 좋아하는 음료수는 무엇인가요? 여름과 겨울에 특별히 마시는 음료수가 있나요?,본인
13,어떤 운동 경기를 보는 것을 좋아하세요? 왜 그 스포츠를 좋아하세요?,취미
14,좋아하는 꽃이나 나무가 있나요? 있다면 이유와 함께 말해 보세요.,배경지식
15,어떤 종류의 음악을 즐겨 듣나요? 왜 그 음악을 좋아하세요? 음악을 즐겨 듣지 않는다면 그 이유는 무엇인가요?,취미
22,현재 한국에서 무슨 일을 하시나요?,모의고사
17,"선글라스를 자주 쓰시나요, 아니면 잘 안 쓰시나요? 이유와 함께 말해 주세요.",논술
18,산책하는 것을 좋아하시나요? 산책할 때 좋은 점이 무엇인지 말해 주세요.,취미
23,당신의 성격은 어떤 것 같습니까? 성격을 설명해 보세요.,시험
20,혼자서 시간을 보내는 것을 좋아하나요? 아니면 많은 사람과 어울리는 것을 좋아하나요? 그 이유는 무엇인가요?,취미
25,요즘 가장 걱정하는 일은 무엇인가요?,본인
31,어제 몇 시간 주무셨나요? 수면 시간이 적당하다고 생각하시나요? 이유와 함께 말해 주세요.,본인
32,지난 주말에 한 일 두 가지를 말해 주세요.,본인
24,"사람들이 당신을 부르는 별명이 있나요? 왜 그런 별명을 가지게 되었나요? 별명이 없다면, 내가 불리고 싶은 별명과 그 이유를 말해 주세요.",모의고사
36,항상 가지고 다니는 물건 중 두 개를 말씀해 주세요. 왜 그것들을 꼭 가지고 다닙니까?,본인
26,가장 즐거웠던 여행은 언제 어디에서 했습니까? 무엇이 가장 좋았습니까?,모의고사
27,국내여행과 해외여행 중 어느 여행을 더 좋아합니까? 왜 그렇습니까?,여행
28,"여행은 주로 혼자 갑니까, 누군가와 함께 간다면 누구와 함께 갑니까? 그 이유는 무엇입니까?",여행
29,"여행 가서 숙소를 정할 때, 무엇을 가장 중요하게 생각합니까? 왜 그렇습니까?",여행
30,"여행할 때 기차와 버스, 자동차 중에서 좋아하는 교통수단은 무엇입니까? 왜 그것을 좋아합니까?",여행
37,매일 아침에 일어나서 가장 먼저 하는 일은 무엇입니까? 왜 그것을 가장 먼저 합니까?,본인
38,한국에서 사귄 친구에 대해서 말해 주세요. 어떻게 만났나요?,본인
33,오늘 여기에 어떻게 오셨나요? 몇 번 버스 혹은 몇 호선을 타고 몇 번 환승했는지 상세하게 말씀해 주세요.,교통
34,마스크를 쓸 때 가장 불편한 점 세 가지를 말해 주세요.,배경지식
35,하루 일과를 마친 후 여가 시간에는 주로 무엇을 하면서 보내나요? 그 이유는 무엇인가요?,취미
39,"자신의 형제나 자매에 관해서 설명해 주세요. 형제자매가 없다면, 친한 친구에 관해서 설명해 주세요.",본인
40,"가장 최근에 만난 사람이 누구인가요? 그 사람이 누군지, 만나서 무엇을 했는지 이야기해 주세요.",모의고사
41,지금 가장 보고 싶은 사람은 누구인가요? 만나면 같이 무엇을 하고 싶은가요?,본인
42,가장 마지막으로 받은 편지는 누구에게 받은 편지였나요? 어떤 편지였나요?,본인
45,가장 좋아하는 과일이 무엇인가요? 왜 그 과일을 좋아하나요?,본인
52,"지금 입고 있는 옷의 종류와 색깔에 대해 얘기해 주세요. 이 옷을 언제, 어떻게 갖게 되었나요?",본인
61,어렸을 때 오랜 시간을 함께 보낸 사람이 누구입니까? 그 사람과 했던 활동 중 두 가지를 말해 주세요.,모의고사
43,한국에서 살고 싶은 지역은 어디이고 그 이유는 무엇입니까?,한국
44,"최근에 바다 혹은 산에 갔던 적이 있나요? 언제, 누구와 어디에 갔나요?",여행
66,손을 하루에 몇 번쯤 씻습니까? 주로 언제 씻습니까?,본인
46,하루에 보통 몇 번 식사를 하나요? 또 몇 시에 식사를 하나요?,음식
47,아플 때 꼭 먹는 음식이 있나요? 왜 아플 때 그 음식을 먹나요?,모의고사
48,본인이 생각하는 몸에 해로운 음식 두 가지를 그 이유와 함께 말해 주세요.,음식
49,본인이 생각하는 건강에 좋은 음식 두 가지를 그 이유와 함께 말해 주세요.,음식
50,마지막으로 노래해 본 적이 언제인가요? 어떤 상황이었나요?,취미
51,춤을 잘 추시나요? 한번 배워보고 싶은 춤이 있나요?,취미
70,크게 아파서 병원에 간 적이 있나요? 가장 아팠던 경험을 이야기해 주세요.,본인
71,어떤 브랜드의 휴대폰을 쓰세요? 그 휴대폰을 산 이유가 뭐예요?,모의고사
73,쇼핑을 하면 무엇을 많이 사는 편입니까? 그 이유는 무엇입니까?,본인
55,한 번 가보고 싶은 나라는 어디입니까? 그 이유는 무엇입니까?,여행
56,당신의 고향은 어느 계절에 여행하는 것이 가장 좋습니까? 왜 그렇습니까?,여행
57,"만약에 휴가를 떠난다면, 어디로 가고 싶으신가요? 그 이유는 무엇인가요?",시험
58,여행할 때 꼭 가져가야 하는 물건은 무엇입니까? 왜 그렇게 생각합니까?,모의고사
59,여행할 때 무엇을 조심해야 합니까? 생각나는 것을 모두 말해 보세요.,여행
60,관광지에 가면 어떤 기념품을 사는 것을 좋아합니까? 왜 그렇습니까?,여행
79,"여행을 가면 주로 짧게 가는 편입니까, 아니면 길게 가는 편입니까? 왜 그렇습니까?",본인
62,어렸을 때 가장 좋아했던 것은 무엇이었습니까? 왜 그것을 좋아했습니까?,논술
63,어렸을 때의 꿈은 무엇이었습니까? 왜 그런 꿈을 품게 되었습니까?,모의고사
64,밤에 잠자기 전에 주로 하는 일은 무엇인가요? 두 가지를 말해 주세요.,본인
65,현재 사는 곳은 아파트인가요? 주택인가요? 기숙사인가요? 몇 층인가요?,본인
96,"동물을 키워본 적 있나요? 있다면 그 동물에 대해 설명해 주세요. 동물을 키워본 적 없다면, 어떤 동물을 키워보고 싶은지 이야기해 주세요.",모의고사
108,"보통 약국에서 어떤 약을 가장 자주 삽니까? 누구를 위한 약이며, 왜 그 약을 자주 삽니까?",본인
68,건강 관리를 위해서 챙겨 먹는 음식이 있나요? 두 가지 이상 말해 보세요.,음식
69,운동하는 것을 좋아하나요? 아니면 싫어하나요? 왜 그런가요?,모의고사
109,요즘 가장 자주 가는 곳은 어디인가요? 왜 그곳에 자주 가나요?,본인
114,살면서 가장 잘한 일은 무엇이라고 생각하시나요? 그 이유는 무엇인가요?,시험
72,재활용 쓰레기를 분리배출하시나요? 어디에 어떻게 분리해서 버리나요? 분리배출을 하지 않는다면 이유를 설명해 주세요.,모의고사
119,한글을 배우는 것은 쉬웠나요? 어려웠나요? 어떤 점이 어려웠나요?,본인
74,혼자 쇼핑하는 것을 좋아하나요? 다른 사람들과 함께 쇼핑하는 것을 좋아하나요? 그 이유는 무엇인가요?,취미
